strategy,date,code,name,regime_primary,topic,excess_5d,excess_3d,fwd_ret_5d,entry_proxy_5d,MAE_5d,MFE_5d,has_outcome
sw_no_fake_no_riskoff,2026-04-08,2630,亞航,inst_push,國防軍工,-0.06701073003112346,-0.062437446463781465,-0.010604453870625696,0.002148227712137407,-0.042417815482502674,-0.010604453870625696,True
sw_no_fake_no_riskoff,2026-04-08,2885,元大金,inst_push,銀行金融,0.013657418107018149,-0.012588633104420932,0.07006369426751591,0.05109489051094873,0.007430997876857859,0.07006369426751591,True
sw_no_fake_no_riskoff,2026-04-08,2887,台新新光金,inst_push,銀行金融,-0.0604548591564491,-0.04228683745901163,-0.004048582995951344,-0.002028397565922768,-0.022267206477732837,-0.002024291497975783,True
sw_no_fake_no_riskoff,2026-04-08,2891,中信金,inst_push,銀行金融,-0.12189300182421459,-0.07665679912287171,-0.06548672566371683,-0.03649635036496346,-0.06548672566371683,-0.030088495575221308,True
sw_no_fake_no_riskoff,2026-04-08,3003,健和興,inst_push,車用連接器,0.013593723839502303,0.055980369018721055,0.07000000000000006,0.06361829025844945,-0.0030000000000000027,0.08800000000000008,True
sw_no_fake_no_riskoff,2026-04-09,4722,國精化,inst_push,IC 載板,-0.062307254629637265,-0.004334946010371432,0.0028328611898016387,0.047337278106508895,-0.04249291784702547,0.03682719546742219,True
sw_no_fake_no_riskoff,2026-04-10,2330,台積電,inst_push,晶圓代工,-0.024147231775633937,0.00317363316724939,0.014999999999999902,0.0201005025125629,-0.0050000000000000044,0.04249999999999998,True
sw_no_fake_no_riskoff,2026-04-10,2382,廣達,inst_push,AI 伺服器組裝,-0.03448160191560268,-0.07726182561968686,0.004665629860031162,0.012539184952978122,-0.04043545878693622,0.004665629860031162,True
sw_no_fake_no_riskoff,2026-04-10,3008,大立光,inst_push,光學鏡頭,0.08855839592999382,0.1839528539464701,0.12770562770562766,0.07201646090534974,0.051948051948051965,0.22077922077922074,True
sw_no_fake_no_riskoff,2026-04-10,3231,緯創,inst_push,AI 伺服器組裝,-0.028036120664522768,-0.05164118164756548,0.011111111111111072,0.014869888475836479,-0.014814814814814836,0.011111111111111072,True
sw_no_fake_no_riskoff,2026-04-10,3706,神達,inst_push,AI 伺服器組裝,-0.025894219727441214,-0.04887455960383502,0.013253012048192625,0.020631067961164984,-0.012048192771084376,0.013253012048192625,True
sw_no_fake_no_riskoff,2026-04-13,1301,台塑,leverage_relay,石化與塑橡膠,-0.01900070045690172,0.01307896595357283,0.023346303501945664,-0.03130755064456714,0.017509727626459082,0.060311284046692615,True
sw_no_fake_no_riskoff,2026-04-13,1536,和大,leverage_relay,工業自動化,-0.009114375560055787,-0.024070183148507507,0.0332326283987916,0.001953124999999778,0.023162134944612278,0.0332326283987916,True
sw_no_fake_no_riskoff,2026-04-13,2049,上銀,leverage_relay,工業自動化,0.13165299604115255,0.06876768190688032,0.17399999999999993,0.06727272727272737,0.10000000000000009,0.17399999999999993,True
sw_no_fake_no_riskoff,2026-04-13,2108,南帝,leverage_relay,石化與塑橡膠,-0.07973018152894085,-0.07526970127068988,-0.03738317757009346,-0.0337711069418386,-0.03738317757009346,-0.0037383177570093906,True
sw_no_fake_no_riskoff,2026-04-13,2327,國巨*,leverage_relay,功率電感,0.010371282696836293,0.023607879600455073,0.05271828665568368,0.024038461538461453,0.028006589785831926,0.07084019769357486,True
sw_no_fake_no_riskoff,2026-04-13,2327,國巨*,leverage_relay,功率電感,0.010371282696836293,0.023607879600455073,0.05271828665568368,0.024038461538461453,0.028006589785831926,0.07084019769357486,True
sw_no_fake_no_riskoff,2026-04-13,2332,友訊,leverage_relay,交換器與網通,-0.042347003958847385,-0.03078494967206713,0.0,0.0066225165562914245,-0.006578947368421018,0.016447368421052655,True
sw_no_fake_no_riskoff,2026-04-13,2393,億光,leverage_relay,光學感測,-0.02133860059750292,-0.030425595404044214,0.021008403361344463,0.02244039270687259,-0.004201680672269115,0.026610644257702987,True
sw_no_fake_no_riskoff,2026-04-13,2401,凌陽,leverage_relay,MCU 嵌入式 IC,0.10729670150433535,0.031152480006642724,0.14964370546318273,0.10250569476082005,0.04275534441805218,0.14964370546318273,True
sw_no_fake_no_riskoff,2026-04-13,3704,合勤控,leverage_relay,交換器與網通,-0.005512078992953695,-0.03768252273159178,0.03683492496589369,0.05263157894736836,-0.01500682128240105,0.03683492496589369,True
sw_no_fake_no_riskoff,2026-04-14,1310,台苯,mixed,石化與塑橡膠,-0.12270013007344271,-0.08773476649579126,-0.08663594470046077,-0.04251207729468598,-0.09677419354838701,-0.04608294930875578,True
sw_no_fake_no_riskoff,2026-04-14,1605,華新,mixed,電器電纜,-0.022089030093479067,-0.010896457539670612,0.013975155279502882,0.007716049382715973,-0.0031055900621118626,0.045031055900621064,True
sw_no_fake_no_riskoff,2026-04-14,1623,大東電,mixed,電器電纜,0.31687699109760636,0.10631880801319116,0.3529411764705883,0.35656836461126007,-0.002673796791443861,0.3529411764705883,True
sw_no_fake_no_riskoff,2026-04-14,2317,鴻海,mixed,AI 伺服器組裝,-0.0191967154934638,-0.021230963264432745,0.01686746987951815,0.01686746987951815,-0.0072289156626506035,0.01686746987951815,True
sw_no_fake_no_riskoff,2026-04-14,2371,大同,mixed,電器電纜,-0.03449924014606487,0.021991692617310266,0.0015649452269170805,-0.0015600624024960652,-0.007824726134585291,0.03599374021909241,True
sw_no_fake_no_riskoff,2026-04-14,2451,創見,mixed,記憶體模組,0.028064071140044167,-0.02602609569797454,0.06412825651302612,0.07056451612903225,-0.012024048096192397,0.06412825651302612,True
sw_no_fake_no_riskoff,2026-04-14,2476,鉅祥,mixed,車用連接器,0.12033391889242084,0.0760453457631467,0.1563981042654028,0.12962962962962954,0.018957345971563955,0.1563981042654028,True
sw_no_fake_no_riskoff,2026-04-14,2497,怡利電,mixed,車用電子,-0.05373202989595016,-0.022835969863266192,-0.017667844522968212,-0.0035842293906809264,-0.017667844522968212,-0.0035335689045936647,True
sw_no_fake_no_riskoff,2026-04-14,2498,宏達電,mixed,AR/VR/XR 光學,-0.01749982893733848,0.008275180120990155,0.01856435643564347,0.003658536585365857,0.0012376237623763497,0.024752475247524774,True
sw_no_fake_no_riskoff,2026-04-14,3029,零壹,mixed,資安防護,-0.05335818333839393,-0.024174987581436214,-0.017293997965411978,-0.005149330587023715,-0.02339776195320442,-0.008138351983723258,True
sw_no_fake_no_riskoff,2026-04-15,1773,勝一,mixed,前段製程材料,0.006727927221842567,0.006294239981205818,0.03821656050955413,0.048231511254019255,-0.009554140127388533,0.04140127388535042,True
sw_no_fake_no_riskoff,2026-04-15,2303,聯電,mixed,晶圓代工,0.23421184980407572,0.23188066828156395,0.2657004830917873,0.15080527086383588,0.0998389694041868,0.2657004830917873,True
sw_no_fake_no_riskoff,2026-04-15,3450,聯鈞,mixed,矽光子與 CPO,0.020609774816485293,0.1020937366950978,0.05209840810419686,0.06598240469208205,-0.013024602026049159,0.1085383502170767,True
sw_no_fake_no_riskoff,2026-04-15,3596,智易,mixed,交換器與網通,-0.04569317874225698,-0.014967340794706185,-0.014204545454545414,-0.016997167138810165,-0.014204545454545414,0.005681818181818121,True
sw_no_fake_no_riskoff,2026-04-15,6415,矽力*-KY,mixed,類比與功率 IC,0.43214773034865206,0.3226462955689302,0.4636363636363636,0.3305785123966942,0.10000000000000009,0.4636363636363636,True
sw_no_fake_no_riskoff,2026-04-15,8016,矽創,mixed,顯示驅動 IC,0.11648272709414997,0.038901448530527016,0.14797136038186154,0.14251781472684089,0.004773269689737569,0.14797136038186154,True
sw_no_fake_no_riskoff,2026-04-15,8103,瀚荃,mixed,連接器,0.07902057581304689,0.08239612320608192,0.11050920910075845,0.11171366594360088,-0.0010834236186347823,0.11050920910075845,True
sw_no_fake_no_riskoff,2026-04-15,8103,瀚荃,mixed,連接器,0.07902057581304689,0.08239612320608192,0.11050920910075845,0.11171366594360088,-0.0010834236186347823,0.11050920910075845,True
sw_no_fake_no_riskoff,2026-04-15,8422,可寧衛*,mixed,電子廢料回收,-0.00413820593728409,0.008940001862636437,0.027350427350427475,0.0050167224080268635,0.006837606837606813,0.042735042735042805,True
sw_no_fake_no_riskoff,2026-04-16,1303,南亞,inst_push,石化與塑橡膠,-0.07424084083603133,-0.03594517571156697,-0.05856353591160213,-0.02850627137970352,-0.05856353591160213,-0.012154696132596676,True
sw_no_fake_no_riskoff,2026-04-16,1303,南亞,inst_push,石化與塑橡膠,-0.07424084083603133,-0.03594517571156697,-0.05856353591160213,-0.02850627137970352,-0.05856353591160213,-0.012154696132596676,True
sw_no_fake_no_riskoff,2026-04-16,1533,車王電,inst_push,車用電子,-0.03003137191007521,-0.022310133812494914,-0.014354066985646008,-0.011200000000000099,-0.014354066985646008,0.004784688995215225,True
sw_no_fake_no_riskoff,2026-04-16,1560,中砂,inst_push,HBM,-0.057956716689135046,-0.03847604993971132,-0.04227941176470584,-0.022514071294559068,-0.04227941176470584,-0.003676470588235281,True
sw_no_fake_no_riskoff,2026-04-16,1583,程泰,inst_push,CNC 工具機,-0.018831879056921297,-0.009586181689571927,-0.003154574132492094,-0.016597510373444035,-0.003154574132492094,0.01577287066246047,True
sw_no_fake_no_riskoff,2026-04-16,1609,大亞,inst_push,電器電纜,-0.06495266724326987,-0.025784234082933843,-0.049275362318840665,-0.05065123010130246,-0.049275362318840665,0.0014492753623187582,True
sw_no_fake_no_riskoff,2026-04-16,1617,榮星,inst_push,電器電纜,-0.050268499892982654,-0.015885409910114556,-0.03459119496855345,-0.025396825396825418,-0.03459119496855345,0.0031446540880502027,True
sw_no_fake_no_riskoff,2026-04-16,2233,宇隆,inst_push,汽車精密件,0.018879930496737085,0.047734406164976706,0.03455723542116629,0.03455723542116629,0.0,0.12526997840172793,True
sw_no_fake_no_riskoff,2026-04-16,2421,建準,inst_push,液冷散熱,-0.0530922709108238,-0.019543476910499624,-0.0374149659863946,-0.03412969283276446,-0.0374149659863946,0.0,True
sw_no_fake_no_riskoff,2026-04-16,2492,華新科,inst_push,功率電感,-0.14025642950355377,-0.00937375245506078,-0.12457912457912457,-0.11564625850340138,-0.12457912457912457,0.006734006734006703,True
sw_no_fake_no_riskoff,2026-04-17,2476,鉅祥,leverage_relay,車用連接器,0.016092145182027284,0.027336865824731937,0.07391304347826089,0.016460905349794164,0.021739130434782705,0.07391304347826089,True
sw_no_fake_no_riskoff,2026-04-17,2606,裕民,leverage_relay,離岸風電,-0.12089782137315674,-0.053800257921087336,-0.06307692307692314,-0.01774193548387104,-0.06307692307692314,-0.023076923076923106,True
sw_no_fake_no_riskoff,2026-04-17,3706,神達,leverage_relay,AI 伺服器組裝,-0.08398023242227393,-0.014916145600589736,-0.026159334126040323,-0.026159334126040323,-0.026159334126040323,0.014268727705113005,True
sw_no_fake_no_riskoff,2026-04-17,4927,泰鼎-KY,leverage_relay,PCB 硬板,0.006051357192788265,0.014727302342999682,0.06387225548902187,0.021072796934865856,0.041916167664670656,0.08383233532934131,True
sw_no_fake_no_riskoff,2026-04-17,8070,長華*,leverage_relay,封裝材料,-0.08784160222998094,-0.005375349496178794,-0.03002070393374734,-0.03402061855670102,-0.03002070393374734,0.023809523809523947,True
sw_no_fake_no_riskoff,2026-04-20,1342,八貫,mixed,國防軍工,-0.07945642314480261,0.05714858446292315,-0.007543103448275912,-0.06686930091185417,-0.007543103448275912,0.07758620689655182,True
sw_no_fake_no_riskoff,2026-04-20,2630,亞航,mixed,國防軍工,-0.08887938756079816,0.003514473374754523,-0.01696606786427146,0.0020345879959309254,-0.01896207584830345,0.0239520958083832,True
sw_no_fake_no_riskoff,2026-04-20,2834,臺企銀,mixed,銀行金融,-0.11629201792137878,-0.047064841368539834,-0.044378698224852076,-0.024169184290030343,-0.044378698224852076,-0.017751479289940697,True
sw_no_fake_no_riskoff,2026-04-20,4976,佳凌,mixed,光學鏡頭,-0.12737824628706507,-0.06611462080230723,-0.055464926590538366,-0.06612903225806455,-0.055464926590538366,0.011419249592169667,True
