date,day_mean_excess,n,cum_excess
2024-04-17,-0.042992777127983405,3,0.011206641896735058
2024-04-19,0.05366997729089218,1,0.06487661918762724
2024-04-22,0.02269447533083313,2,0.08757109451846037
2024-04-23,-0.0005604465360594668,2,0.08701064798240091
2024-04-24,0.0255043631679241,7,0.112515011150325
2024-04-25,-0.03384822035084106,2,0.07866679079948394
2024-04-26,0.003085749518271008,5,0.08175254031775495
2024-04-29,-0.01093918359943925,10,0.07081335671831569
2024-05-02,0.02074977546333656,6,0.09156313218165225
2024-05-03,-0.049232669008062446,2,0.04233046317358981
2024-05-06,-0.009315332087632891,6,0.03301513108595692
2024-05-07,0.015112778877282981,3,0.0481279099632399
2024-05-08,-0.019305327108084108,4,0.028822582855155793
2024-05-09,0.15235487730227504,2,0.18117746015743083
2024-05-10,-0.023515684172826196,3,0.15766177598460462
2024-05-13,0.05851626731647826,10,0.21617804330108287
2024-05-14,-0.005686141297439014,3,0.21049190200364384
2024-05-15,0.024402657537938216,4,0.23489455954158206
2024-05-16,-0.013860109063185244,9,0.22103445047839682
2024-05-17,0.13641820147289713,4,0.35745265195129394
2024-05-20,-0.007731951001619513,7,0.34972070094967445
2024-05-21,0.0695510454291461,5,0.41927174637882053
2024-05-22,0.033848615005999616,4,0.45312036138482015
2024-05-23,0.08775064046580738,2,0.5408710018506275
2024-05-24,0.0343334392410388,6,0.5752044410916664
2024-05-27,0.0069751539287200015,6,0.5821795950203863
2024-05-28,-0.007638376516178491,2,0.5745412185042078
2024-05-31,-0.04393063003283984,4,0.530610588471368
2024-06-03,-0.016594473955822475,3,0.5140161145155455
2024-06-04,-0.0067770255299930415,1,0.5072390889855525
2024-06-06,0.0228100810958084,2,0.5300491700813609
2024-06-07,-0.03253327580973967,6,0.4975158942716212
2024-06-11,-0.025350579844012622,2,0.47216531442760856
2024-06-12,-0.011918393065560196,3,0.46024692136204837
2024-06-13,0.007539815504032687,10,0.4677867368660811
2024-06-14,-0.013927914020619658,3,0.4538588228454614
2024-06-17,-0.020958272319681677,9,0.43290055052577975
2024-06-18,0.005123847921523539,2,0.4380243984473033
2024-06-19,-0.00740048138736209,5,0.4306239170599412
2024-06-20,0.02298071402773847,10,0.4536046310876797
2024-06-21,0.03198586074104585,3,0.48559049182872555
2024-06-24,0.0023100154731585665,1,0.4879005073018841
2024-06-25,0.05258357511053376,3,0.5404840824124179
2024-06-26,0.06635653760645151,10,0.6068406200188694
2024-06-27,-0.03917145388303345,1,0.567669166135836
2024-06-28,0.007423855718048378,8,0.5750930218538843
2024-07-01,-0.036573267117553376,1,0.538519754736331
2024-07-02,-0.09755864601904729,2,0.44096110871728367
2024-07-03,0.006736989620337997,5,0.44769809833762164
2024-07-04,-0.055452770256643635,3,0.392245328080978
2024-07-05,-0.012595322935720243,8,0.37965000514525776
2024-07-08,-0.0004563872360724419,2,0.3791936179091853
2024-07-09,0.05279051052336081,1,0.43198412843254613
2024-07-10,0.06338900821660971,3,0.49537313664915583
2024-07-11,0.06116631824901717,6,0.556539454898173
2024-07-12,0.016631426892964967,6,0.573170881791138
2024-07-16,-0.0064872478011924195,4,0.5666836339899455
2024-07-17,0.028699029344323432,9,0.5953826633342689
2024-07-18,-0.012547631354578223,3,0.5828350319796907
2024-07-23,0.026030684623793942,5,0.6088657166034847
